Identifyer,mesor,pval_lombout,pwr_lombout,period_lombout,pval_cos,phi_cos,phi_SE_cos,amp_cos,amp_SE_cos,PR_cos,period_auto,pwr_auto,window_start,window_end,window
IND 32,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 32,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 4,71.9485832109391,0.00979089797911091,5.77687413012738,23.0519480519481,2.60281752015423e-4,-118.447686749035,12.8275941898634,37.9029275193654,8.7771468603015,21.2773295331033,3,0.0158007043065263,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 4,81.1867641925577,1.90888985292515e-5,12.0169756483245,26.1992619926199,2.71639744253704e-7,-11.2356577999614,9.88566023336792,45.7840566452202,7.43479455947029,35.4819896892511,12,0.0966088607142105,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 4,77.2973211717768,1.1455659867679e-8,19.435353945089,24.8251748251748,5.86743986730198e-11,-62.9730793873211,7.20579667253657,58.8085147929147,7.15331424733459,49.4834939107481,12,0.0763168971524289,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 5,5.81879854843462,0.00297094353626515,6.96944771524064,22.4683544303797,0.00114160771454785,-202.481747047904,15.3520127256225,4.5512999764857,1.17664206305467,17.8305018299719,7,0.063086920759973,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 5,10.0694444444444,NA,-Inf,NA,0.121961261321353,-109.268753374769,27.5057940819177,3.08185056369245,1.47949373787316,5.91645380278405,7,0.0830741562462108,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
IND 5,18.0344014635527,0.735987875145453,1.06740235018565,22.6114649681529,0.168797184182253,-156.571007561445,29.3723520080177,3.7733815765327,1.97610586976805,5.02598712867438,3,0.0423831294452843,2020-03-16T12:00:00Z,2020-03-19T11:00:00Z,3
IND 6,11.06935875274,0.0292299010377826,4.6730292313501,27.3076923076923,0.137781222461327,-128.367188694598,28.2489880155651,4.51268995268454,2.23789060112602,5.58326318442626,7,0.0462891368884007,2020-03-14T12:00:00Z,2020-03-17T11:00:00Z,1
IND 6,19.6487393889625,0.334677857731756,2.11210836479071,21.0059171597633,0.170343988843042,-198.989391352392,29.7379808906216,6.10756373514229,3.20471115782574,5.00087225081586,4,0.0482909637345771,2020-03-15T12:00:00Z,2020-03-18T11:00:00Z,2
